variable,frequency,product_id,dataset_id,dataset_name,min_date,max_date
thetao,daily,cmems_mod_glo_phy,cmems_mod_glo_phy_my_0.083deg_P1D-m,cmems_mod_glo_phy1,1993-01-01,2021-06-30
thetao,daily,cmems_mod_glo_phy,cmems_mod_glo_phy_myint_0.083deg_P1D-m,cmems_mod_glo_phy2,2021-07-01,2023-12-31
thetao,daily,cmems_mod_glo_phy,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1D-m,cmems_mod_glo_phy3,2024-01-01,
thetao,monthly,cmems_mod_glo_phy,cmems_mod_glo_phy_my_0.083deg_P1M-m,cmems_mod_glo_phy1,1993-01-01,2021-06-01
thetao,monthly,cmems_mod_glo_phy,cmems_mod_glo_phy_myint_0.083deg_P1M-m,cmems_mod_glo_phy2,2021-07-01,2023-12-31
thetao,monthly,cmems_mod_glo_phy,cmems_mod_glo_phy-thetao_anfc_0.083deg_P1M-m,cmems_mod_glo_phy3,2024-01-01,
siconc,daily,cmems_mod_glo_phy,cmems_mod_glo_phy_my_0.083deg_P1D-m,cmems_mod_glo_phy1,1993-01-01,2021-06-30
siconc,daily,cmems_mod_glo_phy,cmems_mod_glo_phy_myint_0.083deg_P1D-m,cmems_mod_glo_phy2,2021-07-01,2023-12-31
siconc,daily,cmems_mod_glo_phy,cmems_mod_glo_phy_anfc_0.083deg_P1D-m,cmems_mod_glo_phy3,2024-01-01,
siconc,monthly,cmems_mod_glo_phy,cmems_mod_glo_phy_my_0.083deg_P1M-m,cmems_mod_glo_phy1,1993-01-01,2021-06-01
siconc,monthly,cmems_mod_glo_phy,cmems_mod_glo_phy_myint_0.083deg_P1M-m,cmems_mod_glo_phy2,2021-07-01,2023-12-31
siconc,monthly,cmems_mod_glo_phy,cmems_mod_glo_phy_anfc_0.083deg_P1M-m,cmems_mod_glo_phy3,2024-01-01,
zos,daily,cmems_mod_glo_phy,cmems_mod_glo_phy_my_0.083deg_P1D-m,cmems_mod_glo_phy1,1993-01-01,2021-06-30
zos,daily,cmems_mod_glo_phy,cmems_mod_glo_phy_myint_0.083deg_P1D-m,cmems_mod_glo_phy2,2021-07-01,2023-12-31
zos,daily,cmems_mod_glo_phy,cmems_mod_glo_phy_anfc_0.083deg_P1D-m,cmems_mod_glo_phy3,2024-01-01,
zos,monthly,cmems_mod_glo_phy,cmems_mod_glo_phy_my_0.083deg_P1M-m,cmems_mod_glo_phy1,1993-01-01,2021-06-01
zos,monthly,cmems_mod_glo_phy,cmems_mod_glo_phy_myint_0.083deg_P1M-m,cmems_mod_glo_phy2,2021-07-01,2023-12-31
zos,monthly,cmems_mod_glo_phy,cmems_mod_glo_phy_anfc_0.083deg_P1M-m,cmems_mod_glo_phy3,2024-01-01,
mlotst,daily,cmems_mod_glo_phy,cmems_mod_glo_phy_my_0.083deg_P1D-m,cmems_mod_glo_phy1,1993-01-01,2021-06-30
mlotst,daily,cmems_mod_glo_phy,cmems_mod_glo_phy_myint_0.083deg_P1D-m,cmems_mod_glo_phy2,2021-07-01,2023-12-31
mlotst,daily,cmems_mod_glo_phy,cmems_mod_glo_phy_anfc_0.083deg_P1D-m,cmems_mod_glo_phy3,2024-01-01,
mlotst,monthly,cmems_mod_glo_phy,cmems_mod_glo_phy_my_0.083deg_P1M-m,cmems_mod_glo_phy1,1993-01-01,2021-06-01
mlotst,monthly,cmems_mod_glo_phy,cmems_mod_glo_phy_myint_0.083deg_P1M-m,cmems_mod_glo_phy2,2021-07-01,2023-12-31
mlotst,monthly,cmems_mod_glo_phy,cmems_mod_glo_phy_anfc_0.083deg_P1M-m,cmems_mod_glo_phy3,2024-01-01,
tob,daily,cmems_mod_glo_phy,cmems_mod_glo_phy_my_0.083deg_P1D-m,cmems_mod_glo_phy1,1993-01-01,2021-06-30
tob,daily,cmems_mod_glo_phy,cmems_mod_glo_phy_myint_0.083deg_P1D-m,cmems_mod_glo_phy2,2021-07-01,2023-12-31
tob,daily,cmems_mod_glo_phy,cmems_mod_glo_phy_anfc_0.083deg_P1D-m,cmems_mod_glo_phy3,2024-01-01,
pbo,monthly,cmems_mod_glo_phy,cmems_mod_glo_phy_my_0.083deg_P1M-m,cmems_mod_glo_phy1,1993-01-01,2021-06-01
pbo,monthly,cmems_mod_glo_phy,cmems_mod_glo_phy_myint_0.083deg_P1M-m,cmems_mod_glo_phy2,2021-07-01,2023-12-31
pbo,monthly,cmems_mod_glo_phy,cmems_mod_glo_phy_anfc_0.083deg_P1M-m,cmems_mod_glo_phy3,2024-01-01,
so,daily,cmems_mod_glo_phy,cmems_mod_glo_phy_my_0.083deg_P1D-m,cmems_mod_glo_phy1,1993-01-01,2021-06-30
so,daily,cmems_mod_glo_phy,cmems_mod_glo_phy_myint_0.083deg_P1D-m,cmems_mod_glo_phy2,2021-07-01,2023-12-31
so,daily,cmems_mod_glo_phy,cmems_mod_glo_phy-so_anfc_0.083deg_P1D-m,cmems_mod_glo_phy3,2024-01-01,
so,monthly,cmems_mod_glo_phy,cmems_mod_glo_phy_my_0.083deg_P1M-m,cmems_mod_glo_phy1,1993-01-01,2021-06-01
so,monthly,cmems_mod_glo_phy,cmems_mod_glo_phy_myint_0.083deg_P1M-m,cmems_mod_glo_phy2,2021-07-01,2023-12-31
so,monthly,cmems_mod_glo_phy,cmems_mod_glo_phy-so_anfc_0.083deg_P1M-m,cmems_mod_glo_phy3,2024-01-01,
